,BPA,PNW,SDGE,SCE,PGE_valley,PGE_bay
0,6853.733928742229,16676.387155103002,2260.7354400163235,10857.686291060001,5604.314963129574,5035.829595976378
1,6749.462540014541,16392.96562477375,2114.1103994636987,10351.330337193214,5240.705657325501,4927.543875692744
2,6702.150981458592,16385.746981195054,1998.2088351019627,9906.737151996047,5034.6659254487095,4774.508899034534
3,6749.53423900455,16628.64056249003,1926.2201713929526,9510.545643367132,4922.688451362783,4677.5004915189475
4,6892.949148708415,17296.322759328003,1888.5822309559335,9377.495012627165,4781.260614624048,4678.002416761228
5,7166.7989394808255,18713.56704327687,1891.8324999676993,9393.785199659098,4771.768038776562,4682.4030089122425
6,7455.381771753329,21402.541756297567,1949.9861808031967,9578.834433794542,4878.618694264183,4732.118499185335
7,7753.1424968620195,23115.454484410162,2047.948758514021,9657.765130691821,5088.044026731097,5105.371818753332
8,7985.202071860279,23194.344545340973,2124.8825081323434,9582.014292677683,5337.336738068609,5315.378866093411
9,8085.638130445357,22794.63815491743,2193.6917511338256,9739.923153800557,5458.122165547618,5456.4231310497635
10,8020.702776452376,22275.186546165238,2230.637607692005,9923.070609079115,5649.68601496442,5485.318435843181
11,7853.024249763824,21589.720732342572,2239.487545660676,10080.273998962002,5637.850000589742,5380.124209550472
12,7637.135749088771,20895.256422294984,2229.835096564836,10136.502859757607,5564.748411794217,5317.562457973586
13,7475.143791524589,20299.735112846884,2220.092074084484,10098.217671468547,5453.586043054328,5162.947864503533
14,7324.420554142959,19840.859750205655,2209.9271709998698,9936.260184593028,5371.005007663718,5245.205093951591
15,7357.5124501400305,20103.746099451346,2208.4723436239524,9870.846836939412,5269.045300151581,5242.201198862176
16,7745.552032104496,21851.290336157752,2243.0934741107926,9789.906464974696,5512.795751958826,5259.54804069846
17,8171.656305163055,23873.71037742491,2432.122863140162,10294.688417121772,6006.187384265771,5490.942307590142
18,8196.256336647506,24014.64439680741,2767.1951377643586,11794.716116488245,6804.357861999318,6004.639229932917
19,8090.541927610628,23591.532660090532,2913.0117287695543,12186.668487556724,7046.807038082167,6005.633392025891
20,7912.195656960777,22743.546167365403,2887.7665516285706,12106.902374540698,7009.145757073471,5942.68943594604
21,7614.282043322241,21112.569154053162,2810.170327429795,11949.677087623866,6788.211845862956,5721.192392308583
22,7192.646769782205,19179.148699292757,2634.927190902682,11665.401194259295,6316.020681803424,5487.266806104324
23,6825.677628678149,17738.783283465575,2406.2471817197584,11057.32798789613,5903.620864041685,5163.012324689552
24,7013.4712717917655,17350.305692092923,2041.4930232540876,9016.675510218101,5391.070659932171,4493.546075744839
25,6920.164217166187,17076.73351613872,1884.7511302625187,8626.026913734464,5191.658808733626,4366.1712034362445
26,6944.807440316881,17100.045079380394,1796.2959671346969,8317.788857797252,4904.977690278175,4236.542442053176
27,7056.730731239161,17375.345596926985,1754.1986489062592,8110.768079459639,4870.6267861125125,4100.86461928578
28,7307.497932235325,18122.216137705105,1736.6034139668932,8102.493623255165,4746.7390731517835,4125.647252380951
29,7749.954777497112,19794.745148154325,1758.939446474027,8263.035950398902,4755.815210723109,4210.796387604989
30,8234.948379880501,22926.359173488258,1839.7749893384942,8619.018697001686,4919.638066344834,4416.153984794473
31,8679.566472067752,24733.787021782155,1962.6992279906472,8973.353760828279,5291.801184205782,4845.020378547555
32,8921.148839630023,24579.872689198546,2051.1445727925093,9193.435870548274,5490.716513811227,5002.473474781365
33,8968.828928387722,23875.888163142143,2132.6333983752907,9552.350629669809,5624.29124439151,5155.912829228825
34,8822.074865645676,23069.63523444873,2171.184780348293,9782.94118316812,5890.240169255023,5197.434202043981
35,8588.48556787068,22316.37164560865,2172.5570296662663,9978.033184096637,5921.777662853289,5049.964527079197
36,8312.204255813893,21574.066629475004,2156.2433775247564,9996.517844530892,5856.993498271686,4993.557277887609
37,8078.037618754095,20966.481855053647,2140.146005764234,9910.239355897602,5727.082298408099,4899.150697986264
38,7919.136655884963,20552.0702041406,2124.3302253749357,9750.76818977876,5639.631045923225,4944.429993817333
39,7980.525478878824,20949.127569336804,2118.0323753525363,9666.699785813946,5645.904298348005,4879.126388732735
40,8369.235127021004,22804.679280992685,2146.3863347013603,9595.66394164505,5645.669486184717,5052.77893244731
41,8826.992496656647,24885.839058473008,2325.6566360586935,9965.499856150802,6242.393824214102,5188.6283013958555
42,8834.679457000735,24979.28816465867,2623.5351997833186,11226.828204578542,7081.402753301571,5734.402661192671
43,8704.565232647832,24541.10612669322,2732.0978390466057,11341.179791401679,7212.116103930989,5691.700672669493
44,8483.825273879653,23707.691330417598,2677.9798901545173,11228.839980234345,7090.686719386065,5575.3398595271965
